來源,類別,產品名,規格,業者品牌,縣市,批號,有效日期,啟用比對
食藥署-油品資訊,油品,泰山金酥耐炸油,18L,泰山企業,,20270408,2027.04.08,是
食藥署-油品資訊,油品,泰山沙拉油,18L,泰山企業,,20270409,2027.04.09,是
食藥署-油品資訊,油品,泰山環保鐵桶沙拉油,18KG,泰山企業,,20270409,2027.04.09,是
食藥署-油品資訊,油品,泰山不飽和大豆沙拉油,2.6L*6入(新版),泰山企業,,20270409,2027.04.09,是
食藥署-油品資訊,油品,泰山精選蔬菜油,3L*6,泰山企業,,20270725d,2027.07.25,是
食藥署-油品資訊,油品,泰山好理調合油,2L*6／0.6L*24,泰山企業,,20270725d；20270725f,2027.07.25,是
食藥署-油品資訊,油品,泰山大豆沙拉油,0.6L*12入(新版),泰山企業,,20270413E,2027.04.13,是
食藥署-油品資訊,油品,泰山歐式果實精華調合油,1.5L*6入,泰山企業,,20271013,2027.10.13,是
食藥署-油品資訊,油品,泰山花生風味調和油,2L*6,泰山企業,,20271009,2027.10.09,是
食藥署-油品資訊,油品,福壽大豆沙拉油,18L,福壽實業,,C2140426O；C2140426P；C2150426O；C2150426P；C2160426O；C2160426P；C2210426O,2027.04.13～04.20,是
食藥署-油品資訊,油品,福壽大豆沙拉油,塑桶3L,福壽實業,,C1140426K；C1160426K,2027.04.13／04.15,是
食藥署-油品資訊,油品,健味香油,3L（福壽）,福壽實業,,BL240426L；BL150426L,2028.04.19／2028.04.05,是
食藥署-油品資訊,油品,益康大豆沙拉油,18L／18KG,福懋油脂(益康),,20270410000407；20270411000408,2027.04.10／04.11,是
食藥署-油品資訊,油品,益康烹調油,18L(調合油),福懋油脂(益康),,20270413000408；20270413000403；20270414000403,2027.04.13～04.14,是
食藥署-油品資訊,油品,一級黃豆油,散裝,福懋油脂(益康)／中聯／南僑,,202604081315；202604101315；202604091315；315-1150404,2026.10.04／115.9.30,是
食藥署-預防性下架清單(2026-07-08),成品,雙蔬鮪魚飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,林聰明-雞肉飯飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,櫸木燻雞飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,炭火燒肉飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,韓式燒肉泡菜飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,炙烤鹽蔥燒肉飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,宗家府泡菜燒肉飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,哇沙米秋鮭飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,新極上飯糰-XO醬珠貝,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,星級饗宴-晶英三杯蛤蠣飯糰,,聯華食品工業股份有限公司-基隆,基隆市,,已逾有效日期,是
